SFAM,HP_k35_queries,HP_k35_fam_rate,HP_k36_queries,HP_k36_fam_rate,FoldSeek_queries,FoldSeek_fam_rate,TEA_queries,TEA_fam_rate
0.105263,0,0.0,0,0.0,4,1.0,3,1.0
0.107143,0,0.0,0,0.0,1,1.0,1,1.0
0.108,0,0.0,0,0.0,1,1.0,0,0.0
0.108434,0,0.0,0,0.0,1,1.0,1,1.0
0.108871,0,0.0,0,0.0,1,1.0,0,0.0
0.109312,0,0.0,0,0.0,1,1.0,0,0.0
0.109375,0,0.0,0,0.0,1,1.0,0,0.0
0.111111,0,0.0,0,0.0,6,1.0,5,0.6
0.11236,0,0.0,0,0.0,1,1.0,0,0.0
0.112903,0,0.0,0,0.0,1,1.0,2,1.0
0.113208,0,0.0,0,0.0,1,1.0,0,0.0
0.113636,0,0.0,0,0.0,2,1.0,3,1.0
0.114286,0,0.0,0,0.0,2,1.0,3,1.0
0.115385,0,0.0,0,0.0,2,1.0,5,1.0
0.116279,0,0.0,0,0.0,2,1.0,0,0.0
0.116935,0,0.0,0,0.0,1,1.0,0,0.0
0.117021,0,0.0,0,0.0,2,1.0,1,1.0
0.117647,0,0.0,0,0.0,1,1.0,5,1.0
0.118421,0,0.0,0,0.0,1,1.0,0,0.0
0.119403,0,0.0,0,0.0,1,0.0,0,0.0
0.12,0,0.0,0,0.0,1,1.0,2,1.0
0.12037,0,0.0,0,0.0,1,1.0,3,1.0
0.121212,0,0.0,0,0.0,3,1.0,0,0.0
0.121951,0,0.0,0,0.0,2,1.0,1,1.0
0.122222,0,0.0,0,0.0,1,1.0,0,0.0
0.123457,0,0.0,0,0.0,1,1.0,0,0.0
0.125,0,0.0,0,0.0,8,0.875,11,0.7272727272727273
0.126437,0,0.0,0,0.0,2,1.0,0,0.0
0.127451,0,0.0,0,0.0,1,1.0,1,1.0
0.12766,0,0.0,0,0.0,1,1.0,0,0.0
0.129032,0,0.0,0,0.0,1,1.0,2,1.0
0.12963,0,0.0,0,0.0,1,1.0,1,1.0
0.130435,0,0.0,0,0.0,1,1.0,0,0.0
0.131313,0,0.0,0,0.0,3,1.0,0,0.0
0.133333,0,0.0,0,0.0,9,0.8888888888888888,3,1.0
0.133929,0,0.0,0,0.0,1,0.0,0,0.0
0.134831,0,0.0,0,0.0,1,1.0,0,0.0
0.135458,0,0.0,0,0.0,2,1.0,1,1.0
0.136364,0,0.0,0,0.0,3,1.0,1,1.0
0.137255,0,0.0,0,0.0,2,1.0,2,1.0
0.137931,0,0.0,0,0.0,3,1.0,2,1.0
0.138298,0,0.0,0,0.0,1,1.0,2,1.0
0.138889,0,0.0,0,0.0,2,1.0,0,0.0
0.140449,0,0.0,0,0.0,1,1.0,0,0.0
0.140625,0,0.0,0,0.0,4,1.0,2,1.0
0.142857,0,0.0,0,0.0,13,0.8461538461538461,17,0.8235294117647058
0.146341,0,0.0,0,0.0,1,1.0,1,1.0
0.147059,0,0.0,0,0.0,1,1.0,0,0.0
0.148148,0,0.0,0,0.0,2,1.0,1,1.0
0.148438,0,0.0,0,0.0,1,1.0,0,0.0
0.148594,0,0.0,0,0.0,1,1.0,0,0.0
0.14876,0,0.0,0,0.0,1,1.0,0,0.0
0.149425,0,0.0,0,0.0,1,1.0,0,0.0
0.149533,0,0.0,0,0.0,1,1.0,0,0.0
0.15,0,0.0,0,0.0,2,1.0,0,0.0
0.150442,0,0.0,0,0.0,1,1.0,0,0.0
0.151515,0,0.0,0,0.0,1,1.0,0,0.0
0.151685,0,0.0,0,0.0,1,1.0,0,0.0
0.152174,0,0.0,0,0.0,1,1.0,1,1.0
0.152542,0,0.0,0,0.0,2,1.0,0,0.0
0.15261,0,0.0,0,0.0,1,1.0,0,0.0
0.153226,0,0.0,0,0.0,1,1.0,0,0.0
0.153846,0,0.0,0,0.0,10,1.0,4,0.75
0.155172,0,0.0,0,0.0,1,1.0,0,0.0
0.155556,0,0.0,0,0.0,2,1.0,0,0.0
0.15625,0,0.0,0,0.0,1,1.0,8,1.0
0.156863,0,0.0,0,0.0,3,1.0,0,0.0
0.157895,0,0.0,0,0.0,3,1.0,4,1.0
0.159574,0,0.0,0,0.0,1,1.0,3,1.0
0.159624,0,0.0,0,0.0,1,1.0,0,0.0
0.16,0,0.0,0,0.0,1,1.0,0,0.0
0.16092,0,0.0,0,0.0,1,1.0,0,0.0
0.16129,0,0.0,0,0.0,2,1.0,2,0.5
0.161616,0,0.0,0,0.0,1,1.0,2,1.0
0.163347,0,0.0,0,0.0,1,0.0,1,0.0
0.164,0,0.0,0,0.0,1,1.0,0,0.0
0.166667,0,0.0,0,0.0,21,0.9523809523809523,26,0.8846153846153846
0.168317,0,0.0,0,0.0,1,0.0,0,0.0
0.168421,0,0.0,0,0.0,1,1.0,1,1.0
0.168539,0,0.0,0,0.0,1,1.0,0,0.0
0.168675,0,0.0,0,0.0,2,1.0,0,0.0
0.169492,0,0.0,0,0.0,1,1.0,0,0.0
0.169643,0,0.0,0,0.0,1,1.0,1,0.0
0.170103,0,0.0,0,0.0,1,1.0,0,0.0
0.170213,0,0.0,0,0.0,2,1.0,0,0.0
0.170732,0,0.0,0,0.0,1,1.0,2,1.0
0.171429,0,0.0,0,0.0,4,1.0,4,1.0
