alphabet	asize	ksize	lc	fmax_median	fmax_mean	fmax_max	fmax_min	fmax_p25	fmax_p75	best_species	n_species
gbmr7	7	14	true	0.028832994156367784	0.07313628978473198	0.328393943764642	0.0	0.005107647704311982	0.11102812430133509	mouse	9
gbmr7	7	15	false	0.02779145031539882	0.07395572823070022	0.33492894856822053	0.0	0.005674857094104598	0.11037953789312957	mouse	9
funcgroups8	8	10	false	0.02556115976450725	0.08256288947272478	0.3843353751038888	0.0	0.0024590163934426227	0.1373569245108162	mouse	9
funcgroups8	8	10	true	0.02556115976450725	0.08270263561377614	0.38575333030228104	0.0	0.0024590163934426227	0.137005713699169	mouse	9
funcgroups8	8	8	false	0.025396582443051086	0.0815980955833799	0.377040121309506	0.0	0.0024350649350649346	0.13670888014588864	mouse	9
sdm12	12	8	true	0.028587475182776056	0.08028995510936858	0.36619054497279657	0.0	0.0024752475247524753	0.13239784825061757	mouse	9
sdm12	12	8	false	0.028587475182776056	0.08028459561390909	0.36619054497279657	0.0	0.0024752475247524753	0.13239784825061757	mouse	9
sdm12	12	7	false	0.028569459108439707	0.0800359531584433	0.36243029014378547	0.0	0.0024752475247524753	0.13157927527880955	mouse	9
mmseqs12	12	7	true	0.028406994761307456	0.08603407172659415	0.3873069043099899	0.0	0.01054247931611395	0.1341640587576214	mouse	9
mmseqs12	12	7	false	0.028406994761307456	0.08603890348246104	0.3873069043099899	0.0	0.01054247931611395	0.13407105602380717	mouse	9
mmseqs12	12	8	false	0.028362095374246905	0.08522481967790657	0.3829929955788427	0.0	0.01054247931611395	0.1328312925103449	mouse	9
wass14	14	6	false	0.014237476396756637	0.06547168077131665	0.3231903847928283	0.0	0.0	0.09504068110306774	mouse	9
wass14	14	8	true	0.014237476396756637	0.0646412309747404	0.31784337649161565	0.0	0.0	0.09559508698005405	mouse	9
wass14	14	8	false	0.014237476396756637	0.0646412309747404	0.31784337649161565	0.0	0.0	0.09559508698005405	mouse	9
hsdm17	17	7	false	0.01685947694500795	0.07114191842130263	0.33973292382626585	0.0	0.002072538860103627	0.1078570250180464	mouse	9
hsdm17	17	7	true	0.01685947694500795	0.07114191842130263	0.33973292382626585	0.0	0.002072538860103627	0.1078570250180464	mouse	9
hsdm17	17	6	false	0.016854251126924277	0.07159168157956602	0.34398912845410756	0.0	0.002072538860103627	0.10799554238861891	mouse	9
uniprot18	18	9	true	0.01412878224985997	0.06382268302511573	0.3115394048244199	0.0	0.0	0.09386110264984045	mouse	9
uniprot18	18	8	true	0.01412878224985997	0.06385201176867365	0.311815748395754	0.0	0.0	0.093872875074873	mouse	9
uniprot18	18	10	false	0.01412878224985997	0.06356936453308984	0.30959579076278415	0.0	0.0	0.093763760335271	mouse	9
protein20	20	5	false	0.014141436330585594	0.06348602000320745	0.3128434814408424	0.0	0.0	0.09238556781485914	mouse	9
protein20	20	5	true	0.014141436330585594	0.06334621640395348	0.31152394779311493	0.0	0.0	0.09244686906930083	mouse	9
protein20	20	10	false	0.01412878224985997	0.06315131774885221	0.3082918671855494	0.0	0.0	0.093763760335271	mouse	9
